Date,Price (Close),Volume,Bitcoin Price (Close),Ethereum (Google Interest),NFT (Google Interest),Obs
9-Aug-20,391.12,9451065592,11675.74,8,0,130
10-Aug-20,395.89,11685827893,11878.11,8,0,131
11-Aug-20,380.38,12792218737,11410.53,8,0,132
12-Aug-20,391.02,12408772745,11584.93,8,0,133
13-Aug-20,428.74,18480303526,11784.14,8,0,134
14-Aug-20,437.4,15064589987,11768.87,8,0,135
15-Aug-20,433.35,12416067894,11865.7,8,0,136
16-Aug-20,433.79,12168816874,11892.8,7,0,137
17-Aug-20,429.53,13227089410,12254.4,7,0,138
18-Aug-20,423.67,11978984079,11991.23,7,0,139
19-Aug-20,406.46,13137391167,11758.28,7,0,140
20-Aug-20,416.44,10043032427,11878.37,7,0,141
21-Aug-20,389.13,11781796374,11592.49,7,0,142
22-Aug-20,395.84,10131847985,11681.83,7,0,143
23-Aug-20,391.38,8137303970,11664.85,5,0,144
24-Aug-20,408.14,10328860398,11774.6,5,0,145
25-Aug-20,384,12428442042,11366.13,5,0,146
26-Aug-20,386.47,9967343483,11488.36,5,0,147
27-Aug-20,382.63,10457777652,11323.4,5,0,148
28-Aug-20,395.87,9120674421,11542.5,5,0,149
29-Aug-20,399.92,8777703481,11506.87,5,0,150
30-Aug-20,428.4,11211948040,11711.51,8,0,151
31-Aug-20,435.08,12774741797,11680.82,8,0,152
1-Sep-20,477.05,18862763756,11970.48,8,0,153
2-Sep-20,440.04,19691854014,11414.03,8,0,154
3-Sep-20,385.67,19622845896,10245.3,8,0,155
4-Sep-20,388.24,16747106257,10511.81,8,0,156
5-Sep-20,335.26,29880047640,10169.57,8,0,157
6-Sep-20,353.36,27643678917,10280.35,5,0,158
7-Sep-20,352.67,21763614732,10369.56,5,0,159
8-Sep-20,337.6,17991403432,10131.52,5,0,160
9-Sep-20,351.11,14547933520,10242.35,5,0,161
10-Sep-20,368.1,31421134556,10363.14,5,0,162
11-Sep-20,374.7,27296269329,10400.92,5,0,163
12-Sep-20,387.18,13295405814,10442.17,5,0,164
13-Sep-20,365.57,15005899191,10323.76,5,0,165
14-Sep-20,377.27,17536695361,10680.84,5,0,166
15-Sep-20,364.84,16140584321,10796.95,5,0,167
16-Sep-20,365.81,16107612177,10974.91,5,0,168
17-Sep-20,389.02,19899531080,10948.99,5,0,169
18-Sep-20,384.36,14108357740,10944.59,5,0,170
19-Sep-20,385.54,11049507684,11094.35,5,0,171
20-Sep-20,371.05,12292195784,10938.27,4,0,172
21-Sep-20,341.79,17398267133,10462.26,4,0,173
22-Sep-20,344.5,12732578043,10538.46,4,0,174
23-Sep-20,321.12,12899346599,10246.19,4,0,175
24-Sep-20,349.36,15714304470,10760.07,4,0,176
25-Sep-20,352.18,14381086966,10692.72,4,0,177
26-Sep-20,355.49,13049148579,10750.72,4,0,178
27-Sep-20,357.44,13598126926,10775.27,4,0,179
28-Sep-20,355.16,14258455166,10709.65,4,0,180
29-Sep-20,359.76,11600013236,10844.64,4,0,181
30-Sep-20,359.94,11818610610,10784.49,4,0,182
1-Oct-20,353.21,14679481911,10619.45,4,0,183
2-Oct-20,346.24,14215390463,10575.97,4,0,184
3-Oct-20,346.52,10060167889,10549.33,4,0,185
4-Oct-20,352.58,10696959020,10669.58,3,0,186
